round,loss,accuracy
1,2.1400782094604667,0.34988505747126436
2,1.7787667505220435,0.7544827586206897
3,1.5971350542704263,0.903448275862069
4,1.549282682188626,0.9351724137931035
5,1.5271429452128793,0.9485057471264368
6,1.51643789137917,0.9567816091954023
7,1.504751674827488,0.9668965517241379
8,1.4994067682068923,0.9705747126436781
9,1.4927459216939991,0.9770114942528736
10,1.4857579783187516,0.9797701149425287
11,1.482866060213111,0.9825287356321839
12,1.4824988112504456,0.9852873563218391
13,1.4785739984183477,0.9875862068965517
14,1.4776548729819814,0.9889655172413793
15,1.476477606269135,0.9880459770114942
