round,loss,accuracy
1,2.1581980167048993,0.3400990099009901
2,1.8103774346927606,0.7405940594059406
3,1.6142725165527645,0.8881188118811881
4,1.5614582278940938,0.9202970297029703
5,1.5362769287411528,0.9435643564356435
6,1.5146593429074429,0.9594059405940594
7,1.510229208209727,0.9584158415841584
8,1.4988944006438303,0.9702970297029703
9,1.491872789836166,0.9792079207920792
10,1.488188647987819,0.9792079207920792
11,1.4879307527353267,0.9772277227722772
12,1.483748709329284,0.9811881188118812
13,1.4790796452229567,0.9856435643564356
14,1.4810796888748017,0.9841584158415841
15,1.4792322977934733,0.9866336633663366
