round,loss,accuracy
1,2.1732605869643353,0.3101449275362319
2,1.8977627005554052,0.6376811594202898
3,1.715316387305513,0.7913043478260869
4,1.6452825864156086,0.8463768115942029
5,1.6061984982467503,0.8801932367149758
6,1.5822271998953703,0.8956521739130435
7,1.572075887809053,0.9024154589371981
8,1.5623552796921292,0.9144927536231884
9,1.5488970559576283,0.9241545893719807
10,1.5454387023253142,0.9318840579710145
11,1.5389837445844199,0.9338164251207729
12,1.5349254300628883,0.936231884057971
13,1.5365259329477945,0.9357487922705314
14,1.5267665972456264,0.9458937198067633
15,1.5256345244421474,0.9434782608695652
