round,loss,accuracy
1,2.1524461489179565,0.35093734985454933
2,1.8287381766087083,0.7128340041949836
3,1.6405285141178492,0.8627763019983065
4,1.5788777770906102,0.9084100695407712
5,1.5516252374780342,0.9269083948974621
6,1.5313488429531448,0.9433681820330077
7,1.5226287284713014,0.9497417179196408
8,1.5144090541802202,0.9566321129676698
9,1.505794318995546,0.964627967159493
10,1.5028463817165105,0.9661868202790529
11,1.4980229022112572,0.9692559660895177
12,1.4953838544595723,0.9716098685786135
13,1.492502285724492,0.9737746024761309
14,1.490532527760656,0.9763434596247794
15,1.4882613043889594,0.9773291325144684
