round,loss,accuracy
1,2.1328384292924376,0.37965260545905705
2,1.7925556567407424,0.7444168734491315
3,1.6086832009829009,0.8923076923076924
4,1.5550181485287309,0.9275434243176178
5,1.5251234960910995,0.9528535980148883
6,1.5059355216345776,0.9692307692307692
7,1.5004792906806133,0.9727047146401985
8,1.4969681122166938,0.9732009925558313
9,1.4921362811815058,0.9791563275434243
10,1.487028409292917,0.9806451612903225
11,1.4822577312034058,0.9851116625310173
12,1.4818312497056152,0.9846153846153847
13,1.4778213783765846,0.9856079404466501
14,1.4786601307374372,0.9880893300248139
15,1.476588720423412,0.9895781637717121
