round,loss,accuracy
1,2.161009694126394,0.3264781491002571
2,1.8272266986131056,0.7187660668380462
3,1.6499052812017327,0.8555269922879177
4,1.5791489410522972,0.9028277634961439
5,1.559219072962175,0.910025706940874
6,1.5433350285405059,0.9280205655526992
7,1.5332571751660737,0.9367609254498714
8,1.5255523369673898,0.9444730077120823
9,1.512159702526573,0.9573264781491002
10,1.5132742474808485,0.9537275064267352
11,1.5047452451024386,0.9588688946015425
12,1.502702982566657,0.9629820051413882
13,1.499434566681673,0.9645244215938303
14,1.496558136682584,0.9696658097686375
15,1.4954893798019095,0.9676092544987146
