round,loss,accuracy
1,2.1419422772783525,0.39738903394255876
2,1.8217330220473964,0.7107049608355092
3,1.599281318256189,0.9091383812010444
4,1.542506955062129,0.9477806788511749
5,1.522680718842748,0.9550913838120104
6,1.5050648139600031,0.9671018276762402
7,1.497196012439678,0.9718015665796345
8,1.4900346874879484,0.9775456919060053
9,1.4851152853305907,0.983289817232376
10,1.4794008051446461,0.9879895561357702
11,1.4779560033086074,0.9879895561357702
12,1.477694341906057,0.9869451697127938
13,1.4734149393151386,0.9926892950391645
14,1.4722170929995904,0.9932114882506528
15,1.4730196243789115,0.9921671018276762
