round,loss,accuracy
1,2.170078020778898,0.33553719008264465
2,1.8451700041773562,0.7112947658402203
3,1.664152034846219,0.8429752066115702
4,1.5788207992049288,0.915702479338843
5,1.543181773979145,0.9371900826446281
6,1.5228628067930867,0.9520661157024793
7,1.5126873497135382,0.9630853994490358
8,1.5041298640332603,0.9680440771349862
9,1.4959452041909715,0.9735537190082645
10,1.4924873193105062,0.9763085399449036
11,1.4879470157886012,0.9790633608815427
12,1.4860770738486089,0.9790633608815427
13,1.4841240947896783,0.9801652892561984
14,1.4819443581846463,0.9829201101928374
15,1.480733995463894,0.9829201101928374
