round,loss,accuracy
1,2.160131434242033,0.33059125964010283
2,1.9023150102031874,0.6390745501285348
3,1.7303881414138873,0.8066838046272493
4,1.6414927319573254,0.8745501285347044
5,1.6080814735442017,0.8894601542416453
6,1.5795155305175976,0.9048843187660668
7,1.561799274067033,0.9259640102827763
8,1.5517905632450526,0.9249357326478149
9,1.5462842129190049,0.9305912596401028
10,1.5415502788475057,0.9311053984575836
11,1.5269447264144231,0.9475578406169666
12,1.5272720406171902,0.9439588688946016
13,1.5191099358708202,0.9485861182519281
14,1.5184925309183666,0.9496143958868895
15,1.5061254662535797,0.9619537275064267
