round,loss,accuracy
1,2.1529547920321472,0.35
2,1.892195478288254,0.650990099009901
3,1.710925295093272,0.8326732673267326
4,1.6272093173300866,0.8965346534653466
5,1.5918128565986558,0.9099009900990099
6,1.5633327800448578,0.9242574257425743
7,1.5416673037085202,0.9405940594059405
8,1.5400490345341145,0.9366336633663367
9,1.5215752627589916,0.9559405940594059
10,1.5158662798381088,0.9584158415841584
11,1.5106699301464723,0.9628712871287128
12,1.500530459385107,0.9693069306930693
13,1.4988127573882,0.9747524752475247
14,1.5003058865518852,0.9673267326732673
15,1.4914541789800815,0.9772277227722772
