round,loss,accuracy
1,2.1967088054697697,0.2781247659531263
2,2.0146779765258485,0.497124415850855
3,1.8855147360742415,0.6229981799630717
4,1.8409257693312389,0.6503904239570876
5,1.8163308883594362,0.6662282170661851
6,1.7979662464331425,0.6788358007405879
7,1.784284255637661,0.6894135702531538
8,1.533377783349919,0.9484793505688822
9,1.5164837477069315,0.9582232914774305
10,1.5078854878266714,0.965765279304675
11,1.5028717227605548,0.9673846054534481
12,1.498000975173576,0.9711099165753853
13,1.4947102998527493,0.9744116464573231
14,1.4925459683078028,0.9740909469838119
15,1.4906297183823494,0.9754526015967195
