round,loss,accuracy
1,2.1158023891855757,0.38957345971563984
2,1.8756149763179617,0.6521327014218009
3,1.701736087030709,0.8199052132701422
4,1.6378833013688219,0.8625592417061612
5,1.6091990220038246,0.8800947867298579
6,1.5794484653744087,0.9071090047393365
7,1.5662440123716237,0.9104265402843602
8,1.5534418230373148,0.9255924170616113
9,1.5400331722051612,0.9364928909952607
10,1.5317029424188262,0.942654028436019
11,1.522388054183309,0.952132701421801
12,1.5180983604413074,0.9554502369668246
13,1.5179920072239157,0.9545023696682464
14,1.5138187054774208,0.9549763033175356
15,1.5101720696941936,0.9578199052132701
