round,loss,accuracy
1,2.303733188638616,0.09280397022332507
2,2.3068736016010822,0.08833746898263027
3,2.3223184767786975,0.09627791563275434
4,2.340628327566104,0.08436724565756824
5,2.344820402632872,0.10124069478908189
6,2.357310485839844,0.10024813895781638
7,2.3463275206591887,0.10570719602977667
8,2.3551769045978856,0.09875930521091811
9,2.3469539243589264,0.11017369727047147
10,2.358570960851816,0.09280397022332507
11,2.3411595355192425,0.1141439205955335
12,2.368076659313798,0.08337468982630274
13,2.3539011827473604,0.09826302729528535
14,2.3551252508281775,0.0977667493796526
15,2.3535834591678593,0.09875930521091811
