round,loss,accuracy
1,2.12587512591489,0.4052219321148825
2,1.8543652226968472,0.7018276762402089
3,1.6650087948567562,0.8809399477806789
4,1.595061543093649,0.9242819843342036
5,1.5544154390031302,0.9430809399477806
6,1.5202297119185446,0.9671018276762402
7,1.5084380974035039,0.9702349869451697
8,1.502882777617432,0.9738903394255874
9,1.4846042485523472,0.9895561357702349
10,1.4800778663500793,0.9895561357702349
11,1.4736670436186827,0.995822454308094
12,1.4741777988389018,0.991644908616188
13,1.4729106802853218,0.9942558746736292
14,1.4686118162643194,0.995822454308094
15,1.4709395630863877,0.991644908616188
