round,loss,accuracy
1,2.1389836368443054,0.3916049382716049
2,1.8804970705362014,0.6839506172839506
3,1.6731253564504929,0.8720987654320987
4,1.6149780272260124,0.9007407407407407
5,1.581447698863936,0.9130864197530865
6,1.5548078715359723,0.9358024691358025
7,1.5263658658369088,0.9580246913580247
8,1.5198549143473308,0.9614814814814815
9,1.5077718252605863,0.9629629629629629
10,1.498280295383783,0.9728395061728395
11,1.4940958904925687,0.9728395061728395
12,1.4897054907127663,0.9772839506172839
13,1.4882055282592774,0.980246913580247
14,1.4846772093243068,0.9807407407407407
15,1.4822758098884865,0.9837037037037037
