round,loss,accuracy
1,2.304697541165943,0.1046831955922865
2,2.3086777685759152,0.0859504132231405
3,2.323586424651553,0.09256198347107437
4,2.3364064849769446,0.09862258953168045
5,2.346846421822372,0.09531680440771349
6,2.355460725605652,0.08870523415977961
7,2.334674148060402,0.1206611570247934
8,2.3549928895041305,0.09641873278236915
9,2.353345790710659,0.09807162534435261
10,2.3502673105760055,0.10137741046831956
11,2.366333286164549,0.08650137741046832
12,2.3646962559912814,0.08539944903581267
13,2.366593471374722,0.08650137741046832
14,2.350728476474436,0.10523415977961433
15,2.361191040228221,0.08980716253443526
